Signal,Driver,Receiver,Failures,Domain
TR13_EXT_SYNC_P1V8 (Run B),LVC8T245 via R264,U10-M16,Trough=-0.313V (<-0.3),P1V8
TR14_EXT_SYNC_P1V8 (Run B),LVC8T245 via R263,U10-L15,Trough=-0.313V (<-0.3),P1V8
TR15_EXT_SYNC_P1V8 (Run B),LVC8T245 via R262,U10-K15,Trough=-0.313V (<-0.3),P1V8
TR16_EXT_SYNC_P1V8 (Run A),U10-E36,LVC8T245 via R141,tr=10.66ns (>10.0); tf=10.63ns (>10.0),P1V8
TR16_EXT_SYNC_P1V8 (Run B),LVC8T245 via R141,U10-E36,Peak=2.231V (>2.1); Trough=-0.526V (<-0.3),P1V8
TR17_EXT_SYNC_P1V8 (Run A),U10-E37,LVC8T245 via R140,tr=10.55ns (>10.0); tf=10.52ns (>10.0),P1V8
TR17_EXT_SYNC_P1V8 (Run B),LVC8T245 via R140,U10-E37,Peak=2.231V (>2.1); Trough=-0.526V (<-0.3),P1V8
TR18_EXT_SYNC_P1V8 (Run A),U10-G38,LVC8T245 via R139,tr=10.55ns (>10.0); tf=10.52ns (>10.0),P1V8
TR18_EXT_SYNC_P1V8 (Run B),LVC8T245 via R139,U10-G38,Peak=2.231V (>2.1); Trough=-0.526V (<-0.3),P1V8
TR19_EXT_SYNC_P1V8 (Run A),U10-F38,LVC8T245 via R138,tr=10.06ns (>10.0); tf=10.04ns (>10.0),P1V8
TR19_EXT_SYNC_P1V8 (Run B),LVC8T245 via R138,U10-F38,Peak=2.212V (>2.1); Trough=-0.516V (<-0.3),P1V8
TR20_EXT_SYNC_P1V8 (Run B),LVC8T245 via R137,U10-E39,Peak=2.189V (>2.1); Trough=-0.503V (<-0.3),P1V8
TR21_EXT_SYNC_P1V8 (Run A),U10-E40,LVC8T245 via R136,tr=10.06ns (>10.0); tf=10.04ns (>10.0),P1V8
TR21_EXT_SYNC_P1V8 (Run B),LVC8T245 via R136,U10-E40,Peak=2.189V (>2.1); Trough=-0.503V (<-0.3),P1V8
TR22_EXT_SYNC_P1V8 (Run A),U10-F35,LVC8T245 via R135,tr=10.28ns (>10.0); tf=10.26ns (>10.0),P1V8
TR22_EXT_SYNC_P1V8 (Run B),LVC8T245 via R135,U10-F35,Peak=2.212V (>2.1); Trough=-0.516V (<-0.3),P1V8
TR23_EXT_SYNC_P1V8 (Run A),U10-E35,LVC8T245 via R134,tr=10.34ns (>10.0); tf=10.32ns (>10.0),P1V8
TR23_EXT_SYNC_P1V8 (Run B),LVC8T245 via R134,U10-E35,Peak=2.209V (>2.1); Trough=-0.512V (<-0.3),P1V8
TR24_EXT_SYNC_P1V8 (Run A),U10-L35,LVC8T245 via R84,tr=14.63ns (>10.0); tf=14.63ns (>10.0),P1V8
TR24_EXT_SYNC_P1V8 (Run B),LVC8T245 via R84,U10-L35,Peak=2.284V (>2.1); Trough=-0.531V (<-0.3),P1V8
TR25_EXT_SYNC_P1V8 (Run A),U10-L36,LVC8T245 via R83,tr=14.78ns (>10.0); tf=14.77ns (>10.0),P1V8
TR25_EXT_SYNC_P1V8 (Run B),LVC8T245 via R83,U10-L36,Peak=2.297V (>2.1); Trough=-0.528V (<-0.3),P1V8
TR26_EXT_SYNC_P1V8 (Run A),U10-L33,LVC8T245 via R82,tr=13.95ns (>10.0); tf=13.98ns (>10.0),P1V8
TR26_EXT_SYNC_P1V8 (Run B),LVC8T245 via R82,U10-L33,Peak=2.267V (>2.1); Trough=-0.532V (<-0.3),P1V8
TR27_EXT_SYNC_P1V8 (Run A),U10-K33,LVC8T245 via R81,tr=13.91ns (>10.0); tf=13.92ns (>10.0),P1V8
TR27_EXT_SYNC_P1V8 (Run B),LVC8T245 via R81,U10-K33,Peak=2.264V (>2.1); Trough=-0.528V (<-0.3),P1V8
TR28_EXT_SYNC_P1V8 (Run A),U10-K35,LVC8T245 via R80,tr=11.60ns (>10.0); tf=11.59ns (>10.0),P1V8
TR28_EXT_SYNC_P1V8 (Run B),LVC8T245 via R80,U10-K35,Peak=2.247V (>2.1); Trough=-0.527V (<-0.3),P1V8
TR29_EXT_SYNC_P1V8 (Run A),U10-J35,LVC8T245 via R79,tr=11.28ns (>10.0); tf=11.26ns (>10.0),P1V8
TR29_EXT_SYNC_P1V8 (Run B),LVC8T245 via R79,U10-J35,Peak=2.250V (>2.1); Trough=-0.531V (<-0.3),P1V8
TR30_EXT_SYNC_P1V8 (Run A),U10-H33,LVC8T245 via R78,tr=11.71ns (>10.0); tf=11.70ns (>10.0),P1V8
TR30_EXT_SYNC_P1V8 (Run B),LVC8T245 via R78,U10-H33,Peak=2.247V (>2.1); Trough=-0.527V (<-0.3),P1V8
TR31_EXT_SYNC_P1V8 (Run A),U10-H34,LVC8T245 via R77,tr=11.28ns (>10.0); tf=11.26ns (>10.0),P1V8
TR31_EXT_SYNC_P1V8 (Run B),LVC8T245 via R77,U10-H34,Peak=2.250V (>2.1); Trough=-0.531V (<-0.3),P1V8
TR32_EXT_SYNC_P1V8 (Run B),LVC8T245 via R42,U10-AW35,Peak=2.302V (>2.1); Trough=-0.502V (<-0.3),P1V8
TR33_EXT_SYNC_P1V8 (Run B),LVC8T245 via R36,U10-AW36,Peak=2.302V (>2.1); Trough=-0.502V (<-0.3),P1V8
TR34_EXT_SYNC_P1V8 (Run B),LVC8T245 via R35,U10-AV36,Peak=2.297V (>2.1); Trough=-0.497V (<-0.3),P1V8
TR35_EXT_SYNC_P1V8 (Run B),LVC8T245 via R29,U10-AV37,Peak=2.297V (>2.1); Trough=-0.497V (<-0.3),P1V8
TR36_EXT_SYNC_P1V8 (Run B),LVC8T245 via R28,U10-AU34,Peak=2.295V (>2.1); Trough=-0.495V (<-0.3),P1V8
TR37_EXT_SYNC_P1V8 (Run B),LVC8T245 via R21,U10-AU35,Peak=2.297V (>2.1); Trough=-0.497V (<-0.3),P1V8
TR38_EXT_SYNC_P1V8 (Run B),LVC8T245 via R20,U10-AV38,Peak=2.297V (>2.1); Trough=-0.497V (<-0.3),P1V8
TR39_EXT_SYNC_P1V8 (Run B),LVC8T245 via R16,U10-AW38,Peak=2.297V (>2.1); Trough=-0.497V (<-0.3),P1V8
TR8_EXT_SYNC_P1V8 (Run B),LVC8T245 via R269,U10-R16,Trough=-0.312V (<-0.3),P1V8
TR9_EXT_SYNC_P1V8 (Run B),LVC8T245 via R268,U10-P15,Trough=-0.312V (<-0.3),P1V8
SRS0_UCD_ALERT_P1V8,U10-AV33,TXS0104 via R55,tr=18.38ns (>10.0); tf=18.35ns (>10.0),P1V8
SRS0_UCD_CLK_P1V8,U10-AV31,TXS0104 via R48,tr=18.49ns (>10.0); tf=18.46ns (>10.0),P1V8
SRS0_UCD_DATA_P1V8,U10-AW33,TXS0104 via R52,tr=18.49ns (>10.0); tf=18.46ns (>10.0),P1V8
SRS1_UCD_ALERT_P1V8,U10-D34,TXS0104 via R142,tr=15.09ns (>10.0); tf=15.06ns (>10.0),P1V8
SRS1_UCD_CLK_P1V8,U10-J29,TXS0104 via R144,tr=13.94ns (>10.0); tf=13.94ns (>10.0),P1V8
SRS1_UCD_DATA_P1V8,U10-D35,TXS0104 via R143,tr=14.81ns (>10.0); tf=14.79ns (>10.0),P1V8
SRS0_UCD_CNTRL_P1V8,U10-AY31,U17-2,tr=17.97ns (>10.0); tf=17.93ns (>10.0),P1V8
SRS1_UCD_CNTRL_P1V8,U10-K31,U43-2,tr=13.41ns (>10.0); tf=13.44ns (>10.0),P1V8
PRS_SPI0_SCLK_P1V8_PS,U4-AB20,FPGA via R526,tr=16.28ns (>10.0); tf=16.26ns (>10.0),P1V8
PRS_SPI0_MISO_P1V8 (Run A),U81-16,U10-B21,Peak=2.277V (>2.1); Trough=-0.477V (<-0.3),P1V8
P3V3_P1V8_MGTV_RUN,TPS3808/ext,4×LTC7151+TPS3808,tr=13.63ns (>10.0); tf=13.68ns (>10.0),P1V8
