net_name,run_id,driver_pin,driver_model,rx_pins,rx_model,n_rx,series_r,z0_avg,delay_ps,length_in,cap_pf,voh,vol,rise_time_ns,fall_time_ns,overshoot_pct,undershoot_pct,nmh,nml,peak_v,trough_v,gamma_source,settling_time_ns,notes
TR61_EXT_SYNC_P1V8,A,U10-BD8,FPGA_LVCMOS18,LVC8T245 via R388,LVC8T245_18,1,R388,45.4,224.1,1.476,5.0,1.783,0.017,1.5,1.48,0.0,0.0,0.515,0.56,1.783,0.017,0.4409,2.2,Outbound: FPGA → LVC8T245 A-port (via R)
TR61_EXT_SYNC_P1V8,B,LVC8T245 via R388,LVC8T245_18,U10-BD8,FPGA_LVCMOS18,1,R388,45.4,224.1,1.476,5.0,1.797,0.003,2.9,2.36,0.9,1.1,0.627,0.627,1.812,-0.016,-0.3333,3.63,Inbound: LVC8T245 A-port → FPGA (via R)
TR62_EXT_SYNC_P1V8,A,U10-BA10,FPGA_LVCMOS18,LVC8T245 via R389,LVC8T245_18,1,R389,45.5,279.6,1.838,6.2,1.778,0.022,1.76,1.73,0.0,0.0,0.511,0.556,1.778,0.022,0.44,2.53,Outbound: FPGA → LVC8T245 A-port (via R)
TR62_EXT_SYNC_P1V8,B,LVC8T245 via R389,LVC8T245_18,U10-BA10,FPGA_LVCMOS18,1,R389,45.5,279.6,1.838,6.2,1.796,0.004,2.88,2.34,1.6,2.0,0.626,0.626,1.825,-0.032,-0.3343,3.63,Inbound: LVC8T245 A-port → FPGA (via R)
TR63_EXT_SYNC_P1V8,A,U10-BA9,FPGA_LVCMOS18,LVC8T245 via R390,LVC8T245_18,1,R390,45.4,310.5,2.041,6.9,1.776,0.024,1.96,1.94,0.0,0.0,0.508,0.553,1.776,0.024,0.4409,2.75,Outbound: FPGA → LVC8T245 A-port (via R)
TR63_EXT_SYNC_P1V8,B,LVC8T245 via R390,LVC8T245_18,U10-BA9,FPGA_LVCMOS18,1,R390,45.4,310.5,2.041,6.9,1.795,0.005,2.86,2.32,2.3,2.8,0.625,0.625,1.836,-0.045,-0.3333,3.63,Inbound: LVC8T245 A-port → FPGA (via R)
TR6_EXT_SYNC_P1V8,A,U10-E16,FPGA_LVCMOS18,LVC8T245 via R462,LVC8T245_18,1,R462,45.5,850.4,5.562,18.7,1.731,0.069,5.25,5.23,0.0,0.0,0.464,0.509,1.731,0.069,0.44,6.27,Outbound: FPGA → LVC8T245 A-port (via R)
TR6_EXT_SYNC_P1V8,B,LVC8T245 via R462,LVC8T245_18,U10-E16,FPGA_LVCMOS18,1,R462,45.5,850.4,5.562,18.7,1.786,0.014,2.57,1.96,9.1,12.1,0.616,0.616,1.95,-0.205,-0.3343,5.28,Inbound: LVC8T245 A-port → FPGA (via R)
TR7_EXT_SYNC_P1V8,A,U10-E15,FPGA_LVCMOS18,LVC8T245 via R463,LVC8T245_18,1,R463,45.5,829.9,5.433,18.3,1.736,0.064,5.01,4.99,0.0,0.0,0.469,0.514,1.736,0.064,0.44,6.05,Outbound: FPGA → LVC8T245 A-port (via R)
TR7_EXT_SYNC_P1V8,B,LVC8T245 via R463,LVC8T245_18,U10-E15,FPGA_LVCMOS18,1,R463,45.5,829.9,5.433,18.3,1.787,0.013,2.62,2.01,8.2,10.6,0.617,0.617,1.935,-0.178,-0.3343,5.17,Inbound: LVC8T245 A-port → FPGA (via R)
TR8_EXT_SYNC_P1V8,A,U10-R16,FPGA_LVCMOS18,LVC8T245 via R269,LVC8T245_18,1,R269,45.7,1111.0,7.26,24.4,1.713,0.087,6.77,6.75,0.0,0.0,0.446,0.491,1.713,0.087,0.4382,8.03,Outbound: FPGA → LVC8T245 A-port (via R)
